id,magSource
pr71421353,10
us6000kzih,13
ci40535040,2
ci37564620,2
ci40535032,10
nn00864438,8
nn00864364,14
nc73923261,6
ci40535024,9
tx2023prwq,12
us7000kr2w,10
nn00864374,8
ak023aajltem,0
ak023aajlieg,0
uu60547462,8
ak023aajkos6,0
ak023aajia5k,0
nc73923256,12
ak023aajeitd,0
nn00864371,8
ak023aaje2b5,0
ak023aajdevl,0
ak023aajd0ms,0
ak023aajcz55,0
us7000kr2z,13
ak023aaj3l92,0
uu60547457,8
uu60547452,8
av91997961,1
av91997956,1
nn00864363,2
us6000kzi6,13
nn00864370,8
av91997941,1
ak023aaivule,0
ci40534992,9
ci40534984,9
uu60547447,15
ak023aaiuozo,0
ak023aait0j3,0
ak023aaiiikr,0
ak023aaih9o6,0
nn00864360,8
ak023aaig6pv,0
ci40534976,9
av91113213,1
ci40534968,12
nm60544331,2
nc73923241,2
ci40534960,10
uw61940702,2
av91113188,1
av91997896,1
ak023aai7sde,0
nc73923236,6
hv73520617,4
av91997876,1
ak023aahsmte,0
av91997866,1
nc73923231,6
ak023aahqw8m,0
av91997851,1
nc73923226,6
ci40534944,12
ci37564604,14
nn00864485,8
ak023aahobnm,0
ak023aahlap2,0
av91997831,1
ak023aahberl,0
av91113198,1
nc73923221,2
tx2023prom,2
ci40534920,2
pr71421348,10
ak023aah4z4j,0
ak023aah3o9j,0
nc73923216,6
ak023aah1zne,0
ak023aagzmcs,0
us7000kr2v,13
nn00864480,8
uw61940672,14
ci40534904,2
ak023aagn6j3,0
nc73923211,6
us6000kzhe,13
us7000kp8k,13
ak023aagikn6,0
ak023aaghue7,0
ak023aagfzxa,0
uu60547442,8
ci40534888,14
av91997741,1
uu60547437,10
uu60547432,8
nc73923206,2
hv73520492,4
ci37528357,2
ci40534872,9
pr2023223001,10
us7000kqzv,13
us7000kp8f,13
ci40534856,2
pr71421328,10
nc73924066,6
nc73923201,10
hv73520427,4
uw61940617,10
pr71421313,10
ci40534848,10
uw61940612,15
ak023a96kg8j,0
ak023a96kb7p,0
ak023a96k23e,0
uu60547427,2
us7000kp8e,13
uw61940602,15
mb90024328,2
ci40534816,2
ak023a967tm0,0
ci40534808,9
nc73923176,6
ci40534800,2
nc73923171,6
us7000kqzw,13
ci40534784,2
us7000ktz1,2
ok2023prhf,9
ok2023prhb,9
us7000kp8i,13
nc73923166,2
us7000ktyx,5
ak023a95knar,0
ci40534720,2
nn00864348,10
av91997671,1
ci40534712,8
uw61940557,15
nn00864339,14
av91997661,1
ak023a95gmfp,0
ak023a95gm96,0
uw61940552,8
ak023a95ene0,0
ak023a95e1ih,0
hv73520247,4
us7000kp8h,13
ci40534680,2
ak023a952ge4,0
nc73923156,15
av91997636,1
ak023a94zqre,0
us7000kqzu,13
us6000kzgg,13
ci40534640,9
tx2023prdu,12
hv73520172,4
ak023a94sfi0,0
ci40534616,6
ci40534592,2
ak023a94fyml,0
ak023a94efrk,0
av91997591,1
ci40534560,8
av91997586,1
av91997581,1
ak023a94bo08,0
nn00864327,8
av91997571,1
nc73923146,6
nc73923136,6
nc73923131,6
ak023a947ml4,0
us6000kzfs,13
mb90024323,2
ak023a93wvyb,0
nc73923121,6
nc73923116,2
ci40534496,2
nc73923111,6
ak023a93tnqs,0
ok2023prao,9
nc73923096,6
nc73923086,2
nc73923091,10
ci40534448,2
nc73923076,2
ci40534424,2
us6000kzf4,13
ak023a93b0y8,0
ak023a939x8i,0
uw61940452,14
uw61940447,15
ak023a9364e3,0
nc73923056,10
ak023a933zgr,0
ak023a933rn8,0
us6000kzfp,13
hv73519832,4
ak023a932bd3,0
uu60547417,8
uw61940422,14
nc73923041,2
ak023a92q2k1,0
nc73923031,14
ak023a92ocwy,0
av91113178,1
ak023a92mlfv,0
ak023a92ihwg,0
us6000kzia,10
ci40534336,9
ak023a92h9o9,0
us7000kp89,13
uw61940412,15
av91113173,1
us7000kqzt,13
ak023a9235ev,0
nc73923011,15
ak023a922ftw,0
nc73923006,10
hv73519767,4
ak023a920jr2,0
us7000kqnr,13
us6000kz96,13
pr71421283,10
tx2023pquo,2
ak023a91xhip,0
us6000kz93,13
ok2023pqtz,9
ak023a91ve0p,0
ak023a91usow,0
ci40534256,2
ak023a91sjgq,0
nc73923001,10
us7000ktyw,2
nc73922996,6
ak023a91fzg0,0
ci40534240,8
mb90024318,2
us7000kqnq,13
ak023a91ema2,0
ak023a91dlvq,0
ak023a91bmgs,0
nn00864309,9
nc73922991,6
ak023a91b1jc,0
nc73922986,2
nc73922981,6
nc73922976,10
ak023a917nn0,0
ak023a916zjj,0
ci40534208,9
us6000kz8v,2
ak023a90x9g7,0
ak023a90v4kq,0
av91997361,1
hv73519672,4
hv73519667,4
ak023a90quva,0
nc73922966,6
ak023a90pdi9,9
us6000kz8m,13
nn00864312,10
ak023a90c49l,0
ak023a90bvpr,0
ak023a90a5nr,0
ak023a909ptv,0
nn00864325,10
ak023a909a4k,0
pr71421253,10
uw61940347,2
ak023a907qlm,0
nc73922956,6
ak023a906r1o,0
nn00864322,8
ak023a905g2i,0
ak023a904z1s,0
ak023a904khj,0
ak023a9043pk,0
nn00864320,8
hv73519592,4
ci40534128,2
nc73922951,15
ci40534112,9
hv73519577,4
av91997286,1
av91113148,1
uw61940337,2
ak023a8zokdl,0
nn00864319,8
av91997271,1
ci40534080,10
pr2023223000,13
av91997261,1
us6000kz83,13
ak023a8zknpy,0
nc73922936,6
ak023a8zhw5x,0
av91997246,1
av91997236,1
uu60547407,2
us7000kp86,13
ak023a8z3jvn,0
us7000kp85,13
ci40534072,8
ak023a8z1sh6,0
ak023a8z13l3,0
ak023a8z142b,0
nc73922931,6
av91997206,1
av91997201,1
ci37528309,2
ci40534064,2
us7000kqnn,13
hv73519452,4
nc73922926,6
av91997191,1
av91997186,1
us7000kp84,13
ci40534056,12
us6000kz7v,13
uw61940322,15
ok2023pqjo,9
ak023a8yjeef,0
pr71421218,10
ak023a8ygdcq,9
nc73922916,2
us7000kp82,13
av91997161,1
us7000kp81,13
av91997156,1
nc73922911,6
us7000kp80,13
ak023a8yajzd,0
us7000kp7z,13
ak023a8y8v4a,0
nc73922906,6
nc73922901,6
ak023a8y7f0x,0
nc73922886,12
ak023a8xxryv,0
nc73922881,6
nc73922876,2
uw61940317,15
us7000kqnl,13
ak023a8xs6nk,0
ak023a8xr3nk,0
ak023a8xq5yn,0
nc73922871,2
us7000kp7y,13
av91113163,1
ci40534024,15
nc73922866,6
ak023a8xnd8b,0
av91997091,1
nc73922861,6
ak023a8xcizv,0
ak023a8xbexd,0
uw61940312,10
ci40534016,2
nc73922856,6
ak023a8xa3m7,0
hv73519332,2
ci40534008,12
ak023a8x4zdc,0
ak023a8x27ny,0
us7000kqt9,13
ci40533992,2
nc73922841,10
ok2023pqdf,9
ok2023pqde,9
ak023a8wow2b,0
us7000kqt8,13
us6000kz7d,13
hv73519282,4
nc73922836,15
ak023a8wmxpb,0
av91997031,1
pr71421183,10
nc73922831,6
nc73922826,2
ak023a8wk51d,0
av91997026,1
ak023a8wj57a,0
av91997016,1
ak023a8wgrd8,0
hv73519257,4
hv73519252,4
av91996991,1
av91113128,1
av91113123,1
av91113118,1
av91996971,1
av91113113,1
ci40533968,12
av91996966,1
av91113138,1
ak023a8w0hnm,0
us7000kty7,2
av91113153,1
ak023a8vzsb7,0
us7000kqt6,13
nc73922821,6
ak023a8vxysz,0
ak023a8vx1po,0
ak023a8vvzzp,0
ak023a8vvrhd,0
ak023a8vvabz,0
uw61940302,2
av91113133,1
ak023a8vtmvw,0
av91996921,1
ci40533960,6
ak023a8vj6ip,0
hv73519207,4
us6000kz71,13
nc73922811,6
ak023a8vhgqe,0
av91996906,1
ak023a8vfxad,0
nc73922806,2
ci40533952,15
ak023a8vethr,0
ci40533944,2
av91996871,1
ci40533936,2
nn00864316,8
ak023a8vb6g0,0
av91996861,4
uu60547402,8
ci40533920,2
ak023a8v8fku,0
ak023a8v853q,0
pr71421173,10
ak023a8uvsjh,0
av91113063,1
av91996831,1
us6000kz6s,13
nc73922796,6
nc73922791,6
nc73922786,6
ci40533912,2
ak023a8unjwk,0
av91996811,1
av91113053,1
av91113058,1
ak023a8udxil,0
ak023a8udoyu,0
nc73922781,6
nc73922776,2
us7000kp7t,13
us7000kp7s,13
ak023a8ub5i2,0
av91113048,1
ak023a8u9232,0
uu60547397,2
av91996781,1
ak023a8u7xcu,0
ok2023ppup,9
ak023a8u6ekj,0
ak023a8u5kgv,0
nc73922766,6
ak023a8u2mik,0
ak023a8u26vk,0
nc73922761,2
nc73922746,6
us6000kz6i,13
ak023a8tr396,0
ak023a8tqn7k,0
us6000kz6e,13
av91996741,1
us6000kz6d,13
ak023a8tlg62,0
ak023a8tl9zy,0
uw61940287,8
pr71421158,10
av91996726,1
ak023a8tjp8g,0
us7000kp7r,13
us7000kqt4,13
av91113043,1
ak023a8th71z,0
uu60547387,2
ak023a8tfuup,0
us7000kp7v,13
ak023a8t6pmh,0
av91996691,1
tx2023pprg,1
av91113033,1
av91996686,1
av91996681,1
mb90024313,10
av91996676,1
us6000kz67,13
ci40533856,2
ci40533848,9
ak023a8t080v,0
av91113038,1
av91996661,1
nn00864315,8
ak023a8sy325,0
us7000kqt2,13
us6000kz5s,13
hv73519087,4
ak023a8sv9fp,0
uw61940272,15
av91996626,1
av91113028,1
us6000kz5p,13
us6000kz5m,13
ci40533816,9
ci40533808,9
uw61940267,2
nc73922711,6
ak023a7j82fv,0
ci40533792,2
ci40533784,10
ci37528301,15
ak023a7j6hsd,0
ak023a7j6cb1,0
ak023a7j1cns,0
ci40533760,2
uu60547377,8
us6000kz5i,13
us7000kp1l,13
ci40533744,2
nc73922706,6
nc73922701,6
av91996571,1
ak023a7imblg,0
ci40533736,2
nc73922696,12
ci40533728,2
us7000kqte,13
uw61940242,15
av91996561,1
uw61940237,15
us6000kz5c,13
hv73519007,4
ak023a7ihezd,0
nc73922691,6
nc73922686,2
nc73922681,2
mb90024308,8
mb90024303,10
us7000kp1j,13
nc73922676,2
uw61940227,2
ak023a7i2t12,0
us6000kz58,13
mb90024298,1
nc73922661,2
pr2023222002,10
uw61940212,8
us7000kqti,13
uu60033604,14
uu60547367,14
nc73922651,6
av91113023,1
ak023a7huqep,0
hv73518957,4
uw61940207,8
nc73922646,2
ak023a7hkg3z,0
pr71421123,10
nc73922641,2
ak023a7he5u6,0
ak023a7hds3w,0
nc73922636,15
nc73922631,6
ak023a7ha3l9,0
nc73922626,6
mb90024213,12
hv73518847,4
uw61949026,2
hv73518842,4
ak023a7guwq1,0
ak023a7gug13,0
nc73922606,2
pr71421113,10
ok2023ppgz,9
nc73922596,2
us7000kqtc,13
nc73922591,6
ak023a7goban,0
ak023a7go4fq,0
ci40533520,2
hv73518777,4
ak023a7gcfqt,0
nc73922581,2
nc73922576,6
ak023a7g908v,0
nc73922571,6
ci40533496,2
ci40533488,2
av91113008,1
ci40533480,2
us7000kp1g,13
av91113003,1
nc73922566,6
ok2023ppdw,9
nc73922561,6
ak023a7fq97l,0
ak023a7fpz75,0
us6000kz45,13
ak023a7fp4x3,0
nc73922556,10
ak023a7fmzk3,0
av91112993,1
ak023a7fl99y,0
hv73518657,4
ci40533392,12
us6000kz3v,13
hv73518637,4
ci40533384,9
mb90024198,2
ak023a7fgz14,0
ak023a7fgthi,0
hv73518632,4
ak023a7fgias,0
ok2023ppbt,9
ak023a7f4t1g,0
nc73922546,6
mb90024293,15
av91112988,1
ak023a7f3iu4,0
av91112983,1
uu60547332,8
ci40533352,12
ak023a7f0p61,0
nc73922541,7
ci40533336,12
us7000kp1d,13
av91112953,1
nc73922536,2
ak023a7eunv1,0
tx2023pozy,12
ak023a7el9v2,0
ci40533304,2
ci40533296,2
us6000kz38,13
av91112948,1
us7000kp1c,13
av91112943,1
ak023a7ehkg6,0
av91112938,1
av91112933,1
hv73518522,0
av91112918,1
av91112928,1
nc73922526,6
av91112913,1
us7000kty6,2
ak023a7ed5ib,0
us6000kz30,13
ak023a7eb6um,0
ak023a7eal9j,0
ak023a7e9vtm,0
ak023a7e906t,0
ak023a7dyxqt,0
av91112908,1
us7000kqpl,13
ak023a7dxacq,0
nc73922521,6
ci40533240,2
ak023a7dt72s,0
ak023a7ds9th,0
ci40533224,12
nc73922516,6
ak023a7dr2ny,0
ci37528293,12
ci40533208,2
ak023a7doh0p,0
nc73922511,6
ak023a7db4q2,0
av91112958,1
av91112903,1
av91112898,1
av91112893,1
ok2023poux,9
ak023a7d6pa6,0
nc73922506,6
us6000kz22,13
ak023a7cshzl,0
ci40533120,10
nn00864249,8
tx2023potb,2
nn00864248,12
nc73922496,6
nc73922491,6
us6000kz1u,13
ak023a7ckfum,0
ak023a7cixtd,0
av91112888,1
av91112883,1
nc73922486,6
ok2023posb,9
av91112878,1
nc73922481,6
ci40533088,2
uw61948906,2
nc73922476,6
ak023a7c4bvk,0
mb90024188,10
us6000kz1p,13
hv73518302,4
ak023a7bxgiv,0
ak023a7bx9cc,0
ci40533080,2
ak023a7bv48c,0
ci40533072,10
us6000kz1k,13
ok2023popx,9
ok2023popr,2
us7000kp15,13
us7000kp14,13
us6000kz1h,13
nn00864258,8
ak023a7bgrur,0
pr71421098,10
ak023a7bg8us,0
ci40533064,2
ci40533056,9
ci40533048,9
ak023a7bbtlb,0
nc73922466,6
us6000kz1f,13
us7000kp1a,13
nc73922461,6
av91112873,1
ok2023ponr,12
us7000kqpi,13
ak023a7awkne,0
ok2023ponh,9
nn00864247,10
us6000kz19,13
nc73922456,6
us7000kty5,12
uu60547317,6
nc73922451,6
av91112868,1
av91112863,1
hv73518202,4
ak023a7abn2u,0
ci40533032,14
nc73922446,2
uw61948881,12
ak023a7a8kq3,0
uw61948876,2
us6000kz11,13
av91112858,1
ak023a7a4hpj,0
nc73922441,6
uw61948871,2
av91112738,1
hv73518172,4
nc73922436,6
nc73922431,6
us6000kz0y,13
ak023a79mxto,0
av91112843,1
av91112853,1
us6000kz0v,13
nn00864256,8
us6000kz0u,13
ak023a797xjn,0
nc73922426,2
us6000kz0s,13
nn00864246,10
ci40533016,2
uu60547312,15
pr71421078,10
nc73922421,6
uw61948856,12
ak023a792rab,0
ak023a7923ig,0
ak023a791b4x,0
ci40533008,2
ak023a78zr6x,0
us7000kp18,13
us6000kz0m,13
av91112838,1
ak023a78w5oh,0
us6000kz0l,13
ci40533000,9
nc73922411,2
av91112823,1
ak023a78jc9n,0
ci40532984,2
ak023a78gqs1,0
ci40532976,15
ak023a78g3qr,0
av91112818,1
ci40532968,2
us7000kqr6,13
ak023a78do7h,0
ci40532960,2
nc73922406,6
av91112813,1
us7000kp0u,13
ak023a78ckto,0
ak023a78ceeu,0
ak023a780gnn,0
nc73922401,6
mb90024163,12
ci40532944,2
ak023a77yp21,0
ci40532936,12
nc73922396,6
nc73922391,6
ci40532928,2
uu60547307,8
us6000kz0e,13
av91112808,1
ak023a77u7cu,0
ok2023pocx,2
us7000kp0s,13
us7000kp0r,13
pr71421068,10
ak023a77doie,0
us7000kqr3,13
nn00864240,12
nc73922386,6
us7000kp0n,13
us6000kz05,13
us7000kqr2,13
us7000kp0m,13
us7000kp10,13
us7000kp11,13
ak023a76pi8i,0
ak023a76ncqz,0
us7000kp0y,13
us7000kp0x,13
pr71421058,10
nc73922381,6
nc73922376,12
ok2023pnyn,2
ak023a76imbb,0
av91112798,1
av91112793,1
us6000kyzt,13
us6000kyzq,13
ak023a768wxa,0
ci40532880,2
ci40532872,2
av91112788,1
ak023a765dg5,0
ak023a765adu,0
pr2023222000,13
us6000kyzh,13
ak023a762bqi,0
nc73922371,6
uu60547297,6
av91112783,1
av91112753,1
av91112778,1
nc73922366,6
us7000kty3,12
ak023a75wso9,0
uw61948801,10
ak023a75nrta,0
ak023a75n29r,0
ci40532864,2
ak023a75mo4t,0
nc73922361,6
nc73922356,6
